Id_bien;TypLocal;AdPost;NbrPieces;SurfCar;SurfReel;SurfTer;NatCult;NatCultSpe;Id_com
1;Appartement;190 A RUE CENTRALE;2;50.42;52;0;;;1
2;Appartement;347  RUE DU CHATEAU;3;48.22;48;0;;;2
21;Appartement;17  LOT LES JARDINS DE CHEVRY;1;30.23;30;0;;;2
81;Maison;77  RUE LA PIECE;5;123.16;118;0;;;2
133;Appartement;711  RUE DES MORAINES;2;42.92;41;0;;;2
3;Appartement;58  AV DU MONT BLANC;6;130.8;130;0;;;3
9;Maison;1403  RUE JEAN DE GINGINS;4;93.23;96;0;;;3
16;Appartement;44  ALL DU SQUARE DE LAUSANNE;4;88.11;88;0;;;3
87;Appartement;90  RUE DE LAUSANNE;4;135.68;133;0;;;3
91;Appartement;786  AV DES VOIRONS;2;46.05;46;0;;;3
126;Appartement;47  CHE DES ECOLIERS;2;51.7;42;0;;;3
138;Appartement;114  RUE DU CONTE DES PERMISSIONS;2;58.62;63;0;;;3
163;Appartement;28  CHE DU PEUDEX;3;67.33;63;0;;;3
170;Maison;644  RUE D ARBERE;5;96.46;96;0;;;3
172;Appartement;96  RUE DU JURA;4;90.4;90;0;;;3
174;Appartement;152  GR GRANDE RUE;1;50.11;35;0;;;3
4;Maison;140  RUE DE L'ABBE JOLIVET;5;109.22;109;0;;;4
11;Appartement;276  RTE DE POUGNY;2;35.6;36;0;;;4
5;Appartement;39  RUE BUFFON;4;108.65;91;0;;;5
15;Appartement;3  RUE TURENNE;4;82.6;84;0;;;5
63;Appartement;86  RUE DE LA REPUBLIQUE;1;38;39;0;;;5
71;Appartement;24  RUE LAMARTINE;3;47.65;62;0;;;5
86;Appartement;60  RUE DE SAVOIE;4;75;74;0;;;5
89;Appartement;198  RTE DE VOUVRAY;3;62.38;63;0;;;5
90;Appartement;198  RTE DE VOUVRAY;4;92.04;100;0;;;5
106;Appartement;392  RTE DE VOUVRAY;4;81.24;83;0;;;5
108;Appartement;8  RUE GEORGES MARIN;3;69.66;69;0;;;5
111;Appartement;54  RUE ANTOINE JACQUET;4;88.83;88;0;;;5
118;Appartement;1  RUE JOLIOT CURIE;2;56.65;56;0;;;5
131;Appartement;76  RUE COLONEL XAVIER RENDU;2;54.7;54;0;;;5
135;Appartement;35  RUE BUFFON;3;70.15;69;0;;;5
136;Appartement;20  RUE PARMENTIER;2;57.23;56;0;;;5
139;Appartement;38 B RUE JOSEPH MARION;3;61.89;60;0;;;5
151;Appartement;22  RUE DE L AVENIR;5;89.2;89;0;;;5
152;Appartement;7  RUE TURENNE;1;28.8;40;0;;;5
155;Appartement;6  RUE GEORGES MARIN;3;68.92;68;0;;;5
165;Appartement;1  ALL ALBERT CAMUS;2;58.3;59;0;;;5
6;Appartement;28  AV JEAN FALCONNIER;2;31.65;32;0;;;6
32;Appartement;4  RUE DE LA MAIRIE;3;35.86;50;0;;;6
122;Appartement;9  RUE DES FRERES SERPOLLET;3;53.81;53;0;;;6
7;Appartement;8  RUE DE GENEVE;2;52.58;52;0;;;7
8;Appartement;2  RUE DU RECULET;2;58.71;60;0;;;7
10;Maison;226  ALL DES CAPUCINES;5;117;117;0;;;7
26;Appartement;2  RUE DU JURA;3;84.24;83;0;;;7
30;Appartement;132  ALL DES HETRES;4;131.91;133;0;;;7
50;Appartement;10  RUE DES HAUTAINS;5;112.3;112;0;;;7
56;Appartement;2  RUE DE CHAMP FUSY;1;30.62;31;0;;;7
57;Appartement;53  ALL DES PRUNUS;5;165.92;166;0;;;7
77;Appartement;33  RUE DE GENEVE;3;53.43;56;0;;;7
104;Appartement;3 A RUE GEORGES CHARPAK;2;47.6;49;0;;;7
137;Appartement;461  RUE JEAN-JACQUES ROUSSEAU;5;132.16;131;0;;;7
142;Maison;34  RUE DES ECOLES;5;138.05;101;0;;;7
146;Appartement;16  RUE DES HAUTAINS;2;52.58;58;0;;;7
162;Appartement;181  RUE PARC JEAN MONNET;4;133.24;133;0;;;7
166;Appartement;10  RUE DES HAUTAINS;5;111.06;112;0;;;7
178;Appartement;53  ALL DES PRUNUS;5;166.98;166;0;;;7
12;Appartement;79  CRS DE VERDUN;5;138.03;137;0;;;8
48;Appartement;10  RUE AMPERE;2;68.11;67;0;;;8
96;Appartement;14  RUE CASTELLION;3;88;92;0;;;8
110;Appartement;1  ESPA CHARLES DE GAULLE;3;64.44;64;0;;;8
116;Appartement;12  RUE DU MURET;1;22.2;30;0;;;8
13;Appartement;77 B RUE DU COMMERCE;2;42;43;0;;;9
14;Appartement;240  RUE DE PRE BAILLY;2;45.36;45;0;;;10
25;Appartement;6  RUE DES USINIERS;1;45.54;45;0;;;10
54;Maison;812  RUE DES VERTES CAMPAGNES;6;164.18;160;0;;;10
61;Appartement;377  RUE DES ABATTOIRS;4;88.7;87;0;;;10
66;Appartement;27  RLE DE L EGLISE;3;46.12;53;0;;;10
69;Appartement;242  RUE DE PRE BAILLY;2;50.33;50;0;;;10
92;Appartement;256  AV DE BELLE FERME;2;34.56;34;0;;;10
98;Appartement;256  AV DE BELLE FERME;3;55.4;55;0;;;10
120;Appartement;68  RUE DES USINIERS;4;61.54;68;0;;;10
132;Appartement;18  AV FRANCIS BLANCHARD;2;51;54;0;;;10
140;Appartement;242  RUE DES VERTES CAMPAGNES;3;92.45;105;0;;;10
156;Appartement;346  RUE DE PRE BAILLY;3;68.45;68;0;;;10
159;Appartement;348  RUE DE PRE BAILLY;4;77.86;77;0;;;10
