Id_com;CodeDept;CodPost;CodCom;Commune
1;1;1370;350;SAINT-ETIENNE-DU-BOIS
2;1;1170;103;CHEVRY
3;1;1220;143;DIVONNE-LES-BAINS
4;1;1630;288;PERON
5;1;1200;33;VALSERHONE
6;1;1350;138;CULOZ
7;1;1630;354;ST-GENIS-POUILLY
8;1;1100;283;OYONNAX
9;1;1130;357;ST-GERMAIN-DE-JOUX
10;1;1170;173;GEX
11;1;1500;4;AMBERIEU-EN-BUGEY
12;1;1170;71;CESSY
13;1;1150;396;SAULT-BRENAZ
14;1;1210;160;FERNEY-VOLTAIRE
15;1;1170;399;SEGNY
16;1;1150;202;LAGNIEU
17;1;1130;204;LE POIZAT-LALLEYRIAT
18;1;1300;34;BELLEY
19;1;1210;281;ORNEX
20;1;1590;148;DORTAN
21;1;1280;313;PREVESSIN-MOENS
22;1;1110;60;BRENOD
23;1;1640;363;SAINT-JEAN-LE-VIEUX
24;1;1130;269;NANTUA
25;1;1500;345;SAINT-DENIS-EN-BUGEY
26;1;1710;419;THOIRY
27;1;1100;31;BELLIGNAT
28;1;1110;185;PLATEAU D'HAUTEVILLE
29;1;1410;210;LELEX
30;1;1170;436;VESANCY
31;1;1580;192;IZERNORE
32;1;1170;153;ECHENEVEX
33;1;1210;435;VERSONNEX
34;1;1150;390;SAINT-VULBAS
35;1;1550;109;COLLONGES
36;1;1260;79;CHAMPAGNE-EN-VALROMEY
37;1;1640;199;JUJURIEUX
38;1;1580;240;MATAFELON-GRANGES
39;1;1260;187;HAUT-VALROMEY
40;1;1100;14;ARBENT
41;1;1360;224;LOYETTES
42;1;1410;247;MIJOUX
43;1;1630;401;SERGY
44;1;1550;158;FARGES
45;1;1170;135;CROZET
46;1;1330;443;VILLARS-LES-DOMBES
47;1;1800;244;MEXIMIEUX
48;1;1090;258;MONTCEAUX
49;1;1120;262;MONTLUEL
50;1;1480;194;JASSANS-RIOTTIER
51;1;1480;30;BEAUREGARD
52;1;1120;142;DAGNEUX
53;1;1390;248;MIONNAY
54;1;1800;450;VILLIEU-LOYES-MOLLON
55;2;2300;173;CHAUNY
56;2;2000;408;LAON
57;2;2800;304;LA FERE
58;2;2000;755;URCEL
59;2;2410;680;SAINT GOBAIN
60;2;2700;738;TERGNIER
61;2;2670;318;FOLEMBRAY
62;2;2100;691;SAINT QUENTIN
63;2;2200;722;SOISSONS
64;2;2200;226;COURMELLES
65;2;2290;795;VIC SUR AISNE
66;2;2600;810;VILLERS-COTTERETS
67;2;2600;410;LARGNY SUR AUTOMNE
68;2;2880;537;NANTEUIL LA FOSSE
69;2;2370;758;VAILLY-SUR-AISNE
70;2;2600;201;COEUVRES ET VALSERY
71;2;2200;64;BELLEU
72;2;2400;168;CHATEAU THIERRY
73;2;2130;305;FERE EN TARDENOIS
74;3;3000;190;MOULINS
75;3;3400;321;YZEURE
76;3;3300;95;CUSSET
77;3;3200;310;VICHY
78;4;4200;209;SISTERON
79;4;4500;166;RIEZ
80;4;4400;73;ENCHASTRAYES
81;4;4160;49;CHATEAU-ARNOUX-SAINT-AUBAN
82;4;4000;70;DIGNE-LES-BAINS
83;4;4140;126;MONTCLAR
84;4;4260;6;ALLOS
85;4;4120;39;CASTELLANE
86;4;4850;96;JAUSIERS
87;4;4340;102;LE LAUZET UBAYE
88;4;4140;205;SEYNE
89;4;4500;176;SAINTE CROIX DU VERDON
90;4;4400;86;FAUCON-DE-BARCELONNETTE
91;4;4400;19;BARCELONNETTE
92;4;4800;94;GREOUX-LES-BAINS
93;4;4800;189;SAINT-MARTIN-DE-BROMES
94;4;4200;145;PEIPIN
95;4;4130;245;VOLX
96;4;4300;88;FORCALQUIER
97;4;4140;203;SELONNET
98;4;4100;112;MANOSQUE
99;4;4400;226;UVERNET-FOURS
100;4;4200;139;NOYERS-SUR-JABRON
101;4;4300;151;PIERRERUE
102;4;4700;143;ORAISON
103;4;4160;79;L ESCALE
104;4;4180;242;VILLENEUVE
105;4;4210;230;VALENSOLE
106;4;4290;244;VOLONNE
107;4;4220;197;SAINTE-TULLE
108;4;4230;178;SAINT-ETIENNE-LES-ORGUES
109;4;4120;69;DEMANDOLX
110;4;4330;22;BARREME
111;5;5300;70;LARAGNE-MONTEGLIN
112;5;5260;153;SAINT-MICHEL-DE-CHAILLOL
113;5;5230;84;MONTGARDIN
114;5;5560;177;VARS
115;5;5200;46;EMBRUN
116;5;5200;156;SAINT-SAUVEUR
